rank,roster_id,owner_id,team_name,total_weeks,wins,losses,win_percentage,total_bench_points,average_bench_points,best_week_points,best_week_number,worst_week_points,worst_week_number
1,3,1180047268102877184,NicksKnack,1,1,0,1.0,24.4,24.4,24.4,2,24.4,2
2,8,1015233876345638912,timoslimo,1,1,0,1.0,4.4,4.4,4.4,2,4.4,2
3,6,1248232037073035264,HuskyinOz,1,1,0,1.0,1.7,1.7,1.7,2,1.7,2
4,11,1261262324707098624,NotTooShabby67,1,1,0,1.0,1.5,1.5,1.5,2,1.5,2
5,2,1240849287072468992,FancyLad,1,1,0,1.0,0.0,0.0,0.0,0,0.0,2
6,4,1241182181762543616,TheOnlySarge,1,1,0,1.0,0.0,0.0,0.0,0,0.0,2
7,1,842241309631684608,tomgray,1,0,1,0.0,0.0,0.0,0.0,0,0.0,2
8,9,1254566939422896128,H3AN5,1,0,1,0.0,0.0,0.0,0.0,0,0.0,2
9,12,1263803902390710272,Tumble0,1,0,1,0.0,0.0,0.0,0.0,0,0.0,2
10,10,1261245772238688256,BootyClapper22,1,0,1,0.0,0.0,0.0,0.0,0,0.0,2
11,5,1155320384868003840,norfolknchance23,1,0,1,0.0,0.0,0.0,0.0,0,0.0,2
12,7,607410971987742720,nev419,1,0,1,0.0,0.0,0.0,0.0,0,0.0,2
