season,rank,team_name,wins,losses,ties,points_for,points_against,team_key,extracted_date
2019,1,Norfolk n’ Chance,8,6,0,0,0,390.l.276139.t.8,2025-08-25T16:48:39.816942
2019,2,Wizard of Oz,9,5,0,0,0,390.l.276139.t.6,2025-08-25T16:48:39.816963
2019,3,Heans team,8,6,0,0,0,390.l.276139.t.4,2025-08-25T16:48:39.816967
2019,4,Sports Injuries!,10,4,0,0,0,390.l.276139.t.1,2025-08-25T16:48:39.816970
2019,5,The Fancy Lads,7,7,0,0,0,390.l.276139.t.2,2025-08-25T16:48:39.816973
2019,6,Blackmumbah,6,8,0,0,0,390.l.276139.t.5,2025-08-25T16:48:39.816976
2019,7,Miramar Maulers,6,8,0,0,0,390.l.276139.t.10,2025-08-25T16:48:39.816979
2019,8,Skölpocalypse Now,6,8,0,0,0,390.l.276139.t.9,2025-08-25T16:48:39.816982
2019,9,VB Long Neck At 0740,5,9,0,0,0,390.l.276139.t.7,2025-08-25T16:48:39.816984
2019,10,Kevin's Choice Team,5,9,0,0,0,390.l.276139.t.3,2025-08-25T16:48:39.816987
2020,1,Skölpocalypse-19,10,4,0,0,0,399.l.625337.t.10,2025-08-25T16:48:38.795610
2020,2,Sports Injuries!,7,7,0,0,0,399.l.625337.t.1,2025-08-25T16:48:38.795628
2020,3,Dobbin's a free elf,11,3,0,0,0,399.l.625337.t.11,2025-08-25T16:48:38.795632
2020,4,The Rabid Chihuahuas,8,6,0,0,0,399.l.625337.t.12,2025-08-25T16:48:38.795635
2020,5,The Fancy Lads,7,7,0,0,0,399.l.625337.t.2,2025-08-25T16:48:38.795638
2020,6,Norfolk n’ Chance,7,7,0,0,0,399.l.625337.t.8,2025-08-25T16:48:38.795642
2020,7,Miramar Mysterios,7,7,0,0,0,399.l.625337.t.9,2025-08-25T16:48:38.795645
2020,8,Wizard of Oz,7,7,0,0,0,399.l.625337.t.6,2025-08-25T16:48:38.795647
2020,9,Blackmumbah,6,8,0,0,0,399.l.625337.t.5,2025-08-25T16:48:38.795650
2020,10,VB Long Neck At 0740,5,9,0,0,0,399.l.625337.t.7,2025-08-25T16:48:38.795653
2020,11,Cam's New Town,5,9,0,0,0,399.l.625337.t.3,2025-08-25T16:48:38.795655
2020,12,Heans elite,4,10,0,0,0,399.l.625337.t.4,2025-08-25T16:48:38.795658
2021,1,The Fancy Lads,9,6,0,0,0,406.l.620220.t.2,2025-08-25T16:48:37.765417
2021,2,Norfolk n’ Chance,9,6,0,0,0,406.l.620220.t.7,2025-08-25T16:48:37.765431
2021,3,Heans elite,10,5,0,0,0,406.l.620220.t.3,2025-08-25T16:48:37.765435
2021,4,VB Long Neck At 0740,9,6,0,0,0,406.l.620220.t.6,2025-08-25T16:48:37.765438
2021,5,Sports Injuries!,8,7,0,0,0,406.l.620220.t.1,2025-08-25T16:48:37.765441
2021,6,The Booty Clapper🍑,7,8,0,0,0,406.l.620220.t.4,2025-08-25T16:48:37.765445
2021,7,Wizard of Oz,7,8,0,0,0,406.l.620220.t.5,2025-08-25T16:48:37.765448
2021,8,Miramar Mysterios,6,9,0,0,0,406.l.620220.t.8,2025-08-25T16:48:37.765451
2021,9,Wet Ass Pouncey,5,10,0,0,0,406.l.620220.t.11,2025-08-25T16:48:37.765454
2021,10,Folk Off,5,10,0,0,0,406.l.620220.t.10,2025-08-25T16:48:37.765457
2022,1,The Fancy Lads,10,5,0,0,0,414.l.404889.t.2,2025-08-25T16:48:36.741794
2022,2,Chasen the Title,8,7,0,0,0,414.l.404889.t.9,2025-08-25T16:48:36.741819
2022,3,Wet Ass Pouncey,9,6,0,0,0,414.l.404889.t.10,2025-08-25T16:48:36.741823
2022,4,The Booty Clapper🍑,8,7,0,0,0,414.l.404889.t.4,2025-08-25T16:48:36.741827
2022,5,Miramar Mysterios,7,8,0,0,0,414.l.404889.t.8,2025-08-25T16:48:36.741832
2022,6,Wizard of Oz,8,7,0,0,0,414.l.404889.t.5,2025-08-25T16:48:36.741836
2022,7,Norfolk n’ Chance,7,8,0,0,0,414.l.404889.t.7,2025-08-25T16:48:36.741839
2022,8,VB Long Neck At 0740,7,8,0,0,0,414.l.404889.t.6,2025-08-25T16:48:36.741842
2022,9,Sports Injuries!,6,9,0,0,0,414.l.404889.t.1,2025-08-25T16:48:36.741845
2022,10,Heans elite,5,10,0,0,0,414.l.404889.t.3,2025-08-25T16:48:36.741848
2023,1,Sports Injuries!,11,4,0,0,0,423.l.620459.t.1,2025-08-25T16:48:35.723352
2023,2,The Fancy Lads,8,7,0,0,0,423.l.620459.t.2,2025-08-25T16:48:35.723372
2023,3,Norfolk n’ Chance,7,8,0,0,0,423.l.620459.t.7,2025-08-25T16:48:35.723376
2023,4,Miramar Mysterios,10,5,0,0,0,423.l.620459.t.8,2025-08-25T16:48:35.723381
2023,5,The Booty Clapper🍑,7,8,0,0,0,423.l.620459.t.4,2025-08-25T16:48:35.723384
2023,6,Wizard of Oz,7,8,0,0,0,423.l.620459.t.5,2025-08-25T16:48:35.723388
2023,7,Heans elite,7,8,0,0,0,423.l.620459.t.3,2025-08-25T16:48:35.723391
2023,8,VB Long Neck At 0740,7,8,0,0,0,423.l.620459.t.6,2025-08-25T16:48:35.723395
2023,9,Good Juju,6,9,0,0,0,423.l.620459.t.9,2025-08-25T16:48:35.723398
2023,10,Unlucky Head Up Champ,5,10,0,0,0,423.l.620459.t.10,2025-08-25T16:48:35.723402
2024,1,Miramar McConkey KaTonkaLonka,9,6,0,0,0,449.l.577501.t.8,2025-08-25T16:48:34.700375
2024,2,The Fancy Lads,8,7,0,0,0,449.l.577501.t.2,2025-08-25T16:48:34.700390
2024,3,Norfolk n’ Chance,8,6,1,0,0,449.l.577501.t.7,2025-08-25T16:48:34.700392
2024,4,VB Long Neck At 0740,9,6,0,0,0,449.l.577501.t.6,2025-08-25T16:48:34.700395
2024,5,Heans elite,8,7,0,0,0,449.l.577501.t.3,2025-08-25T16:48:34.700398
2024,6,Ja'Killing Me,8,7,0,0,0,449.l.577501.t.9,2025-08-25T16:48:34.700400
2024,7,Nick's Knack Goes Paddy Whack,6,9,0,0,0,449.l.577501.t.4,2025-08-25T16:48:34.700402
2024,8,Sports Injuries!,7,7,1,0,0,449.l.577501.t.1,2025-08-25T16:48:34.700404
2024,9,Unlucky Head Up Champ,6,9,0,0,0,449.l.577501.t.10,2025-08-25T16:48:34.700406
2024,10,Wizard of Oz,5,10,0,0,0,449.l.577501.t.5,2025-08-25T16:48:34.700409
